
### delivery class x type
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('attachT5/pT5', 5)                                31595   105.32     0.73     1.07     1.79
('chain/T5', 6)                                     1936     6.45     1.39     9.71    11.11
('attachT5/pT5', 6)                                13923    46.41     0.55     0.86     1.41
('attachT5/pT5', 4)                                 5071    16.90     1.77     1.42     3.19
('attachT5/pT5', 2)                                 9011    30.04     0.95     0.65     1.61
('chain/T5', 1)                                      529     1.76    14.74     6.05    20.79
('attachT5/pT5', 1)                                  301     1.00     1.99     0.33     2.33

### x innermost chain layer (dbgInLay)
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 0)                                180173   600.58     4.75     9.25    14.00
('chain/T5', 1)                                    82198   273.99     7.27     5.54    12.81
('attachT3/pT3', 0)                                27995    93.32    17.39     1.65    19.04
('zp8pLS/pLS', 0)                                   6455    21.52     5.64    67.23    72.87
('chain/T5', 2)                                    13082    43.61    21.76     6.42    28.18
('attachT5/pT5', 1)                               143792   479.31     0.73     0.58     1.31
('chain/T4', 8)                                     3078    10.26     6.14    35.61    41.75
('chain/T4', 1)                                     2063     6.88    40.77    18.52    59.28
('chain/T4', 3)                                     1540     5.13    58.90     2.79    61.69
('chain/T5', 7)                                     3237    10.79     7.88    10.75    18.63
('chain/T4', 2)                                      696     2.32    76.72     4.31    81.03
('attachT5/pT5', 7)                                 9177    30.59     1.07     1.55     2.62
('chain/T4', 7)                                      424     1.41    26.89    26.42    53.30
('attachT5/pT5', 2)                                 6391    21.30     1.00     1.00     2.00

### x barrel MD count (dbgNB)
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 0)                                180173   600.58     4.75     9.25    14.00
('attachT3/pT3', 0)                                27995    93.32    17.39     1.65    19.04
('chain/T5', 5)                                    22867    76.22    16.10     6.33    22.43
('zp8pLS/pLS', 0)                                   6455    21.52     5.64    67.23    72.87
('chain/T5', 6)                                    23095    76.98     3.26     6.74    10.00
('chain/T5', 3)                                    15412    51.37    10.93     3.71    14.64
('chain/T4', 4)                                     3115    10.38    66.20     3.76    69.95
('chain/T5', 4)                                    11869    39.56    11.82     3.68    15.50
('chain/T4', 0)                                     3502    11.67     8.65    34.49    43.15
('chain/T5', 1)                                     9710    32.37     6.34     7.73    14.08
('chain/T5', 2)                                    12335    41.12     5.56     5.14    10.70
('chain/T5', 0)                                     3237    10.79     7.88    10.75    18.63
('attachT5/pT5', 1)                                33526   111.75     0.80     0.89     1.69
('attachT5/pT5', 2)                                22622    75.41     1.05     0.90     1.95
('attachT5/pT5', 5)                                27248    90.83     0.63     0.51     1.14
('attachT5/pT5', 3)                                17154    57.18     1.09     0.69     1.78
('attachT5/pT5', 0)                                 9177    30.59     1.07     1.55     2.62
('chain/T4', 3)                                      502     1.67    14.34    32.27    46.61
('attachT5/pT5', 6)                                40770   135.90     0.37     0.11     0.49
('attachT5/pT5', 4)                                 8863    29.54     1.08     1.09     2.18
('chain/T4', 1)                                      383     1.28    21.93    26.37    48.30
('chain/T4', 2)                                      299     1.00    21.40    25.08    46.49

### x chain MD count (dbgNMD)
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 0)                                180173   600.58     4.75     9.25    14.00
('chain/T5', 5)                                    51788   172.63    13.98     6.24    20.23
('attachT3/pT3', 0)                                27995    93.32    17.39     1.65    19.04
('zp8pLS/pLS', 0)                                   6455    21.52     5.64    67.23    72.87
('chain/T4', 4)                                     7801    26.00    33.14    21.32    54.45
('chain/T5', 6)                                    44619   148.73     4.02     5.37     9.39
('attachT5/pT5', 5)                                70917   236.39     0.92     0.93     1.84
('attachT5/pT5', 6)                                83478   278.26     0.64     0.42     1.05
('chain/T5', 7)                                     2118     7.06     1.98     5.48     7.46
('attachT5/pT5', 7)                                 4965    16.55     0.60     0.81     1.41

### x (nMD - 2*nLayers)  [double-hit layers]
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', None)                             180173   600.58     4.75     9.25    14.00
('chain/T5', -5)                                   51788   172.63    13.98     6.24    20.23
('attachT3/pT3', None)                             27995    93.32    17.39     1.65    19.04
('zp8pLS/pLS', None)                                6455    21.52     5.64    67.23    72.87
('chain/T4', -4)                                    7801    26.00    33.14    21.32    54.45
('chain/T5', -6)                                   44619   148.73     4.02     5.37     9.39
('attachT5/pT5', -5)                               70917   236.39     0.92     0.93     1.84
('attachT5/pT5', -6)                               83478   278.26     0.64     0.42     1.05
('chain/T5', -7)                                    2118     7.06     1.98     5.48     7.46
('attachT5/pT5', -7)                                4965    16.55     0.60     0.81     1.41

### x int(pt) capped 6
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 1)                                115741   385.80     3.88     9.02    12.91
('chain/T5', 1)                                    58895   196.32     9.29     4.85    14.14
('carried/pLS', 0)                                 33903   113.01     4.47     8.61    13.07
('attachT3/pT3', 1)                                17813    59.38    18.36     1.64    20.01
('carried/pLS', 2)                                 20719    69.06     4.56    10.42    14.98
('chain/T5', 0)                                    21383    71.28     7.09     5.25    12.34
('chain/T4', 1)                                     4810    16.03    30.83    21.79    52.62
('zp8pLS/pLS', 1)                                   2988     9.96     6.59    61.71    68.31
('attachT5/pT5', 1)                               108146   360.49     0.79     0.68     1.47
('chain/T5', 2)                                     9037    30.12    11.80     4.17    15.97
('chain/T5', 6)                                     3452    11.51     9.91    30.88    40.79
('zp8pLS/pLS', 6)                                   1184     3.95     3.29    89.53    92.82
('carried/pLS', 3)                                  5402    18.01     8.33    11.57    19.90
('attachT3/pT3', 0)                                 7130    23.77    11.96     1.37    13.34
('carried/pLS', 6)                                  1729     5.76    43.61     9.89    53.50
('zp8pLS/pLS', 0)                                   1300     4.33     5.08    64.15    69.23
('chain/T4', 0)                                     1481     4.94    21.74    27.08    48.82
('chain/T4', 2)                                      965     3.22    44.77    17.10    61.87
('chain/T5', 3)                                     3178    10.59    12.15     5.03    17.18
('attachT3/pT3', 2)                                 2138     7.13    21.28     1.78    23.06
('carried/pLS', 4)                                  1854     6.18    13.27    12.57    25.84
('attachT5/pT5', 0)                                19748    65.83     1.07     0.68     1.75
('zp8pLS/pLS', 2)                                    531     1.77     5.84    57.44    63.28
('carried/pLS', 5)                                   825     2.75    18.67    14.42    33.09
('chain/T5', 4)                                     1586     5.29    11.66     5.49    17.15
('attachT5/pT5', 2)                                23491    78.30     0.48     0.52     0.99
('chain/T5', 5)                                      994     3.31    11.27     7.55    18.81
('chain/T4', 3)                                      258     0.86    56.59    10.47    67.05
('attachT3/pT3', 3)                                  529     1.76    30.25     1.89    32.14
('zp8pLS/pLS', 3)                                    219     0.73     7.76    58.45    66.21
('attachT5/pT5', 3)                                 5571    18.57     0.34     0.56     0.90
('attachT5/pT5', 6)                                  531     1.77     1.51     1.51     3.01
('attachT5/pT5', 4)                                 1411     4.70     0.07     0.85     0.92
('attachT5/pT5', 5)                                  462     1.54     0.87     1.08     1.95
