# run lumi evt seed tc cls df00 df01 df02 df03 df04 df05 df06 df07 df08 df09 df10 df11 df12 df13 df14 df15 df16 df17 df18 df19 df20 df21
1 46 4560 279 200 0 0.800186 0.396979 0.000213463 0.000250183 0.000378183 0.012921 0.400154 5.17499 5.17499 -30 6 12 29.0379 0.826435 0.365554 3 1 0 0 1 3 1
1 46 4560 237 209 0 1.08137 0.452631 0.000401483 0.000168024 0.00038207 0.00711505 0.210366 0.498815 3.70938 -30 6 12 28.8559 0.930188 0.440851 3 1 0 0 1 3 2
1 46 4560 238 209 0 0.953926 0.472474 0.000354967 0.000212308 0.000380167 -0.00950328 0.140138 3.44545 3.44545 -30 6 12 28.8559 0.930188 0.440851 3 1 0 0 1 3 2
1 46 4560 4 210 0 0.112267 1.53819 0.00150088 0.0011372 3.25157e-05 -0.0558324 2.54903 -1.61479 6.86101 -30 6 12 29.7174 0.565043 1.56473 3 1 0 0 1 6 5
1 46 4560 18 210 0 0.332434 1.527 0.000919987 0.000690302 0.0001155 0.0404088 4.25133 -0.353028 4.36603 -30 6 12 29.7174 0.565043 1.56473 3 1 0 0 1 6 5
1 46 4560 23 210 1 0.0931011 1.62197 0.00152511 0.00122515 0.923448 0.0579112 7.1979 -0.810014 -0.324356 3.66487 6 12 29.7174 0.565043 1.56473 3 2 0 0 1 6 5
1 46 4560 29 210 0 0.520542 1.57458 0.0011231 0.000530409 0.000263046 0.0246453 4.74423 5.49129 5.49129 -30 6 12 29.7174 0.565043 1.56473 3 1 0 0 1 4 5
1 46 4560 117 213 0 -0.0694838 1.04023 0.00175933 0.00212816 2.3969 0.0966623 4.65631 5.15288 5.15288 5.00719 6 12 30.264 -0.0444016 1.06829 3 1 0 0 1 2 2
1 46 4560 122 213 1 0.169418 1.0764 0.00115437 0.00125567 0.000920462 0.057767 1.87998 -1.12742 5.36577 3.56477 6 12 30.264 -0.0444016 1.06829 3 1 0 0 1 3 2
1 46 4560 99 219 1 0.000953678 1.79773 0.00197016 0.00153901 1.79693e-05 0.0653218 8.59301 2.76689 2.76689 4.03911 6 12 28.7 -0.0336901 1.81408 3 2 0 0 1 1 12
1 46 4560 1443 219 0 0.010659 1.79409 0.00172481 0.00143015 3.87125 0.0771684 10.7286 5.83263 5.83263 -30 6 12 28.7 -0.0336901 1.81408 3 4 0 3 0 1 12
1 46 4560 128 224 0 0.0630861 0.518885 0.000743088 0.00135827 0.000144893 -0.074168 5.30552 6.8682 6.8682 -30 6 12 28.2639 0.062685 0.411781 3 1 0 0 1 2 1
1 46 4560 278 227 0 0.656411 0.0811273 0.000255973 0.000468484 0.000381613 -0.018733 1.49672 5.54795 5.54795 -30 6 12 28.1131 0.639933 0.044987 3 1 0 0 1 2 1
1 46 4560 225 232 0 0.0257298 1.51891 0.00158594 0.0015158 0.000428839 0.0837788 4.3115 -2.02111 5.30896 5.67075 6 12 29.22 -0.0163366 1.47009 3 1 0 0 1 2 1
1 46 4560 341 243 0 -0.00757876 0.885231 0.00134277 0.00175046 6.16562 0.0836805 5.71792 6.85068 6.85068 -30 5 10 27.4908 0.00990134 0.927239 3 1 0 0 1 1 1
1 46 4560 234 244 1 -0.0688173 0.295729 0.000571368 0.00174948 1.48828 -0.0996097 8.32094 -1.3577 0.889795 1.65494 6 12 29.8967 -0.0335794 0.244862 3 1 0 0 1 2 1
