# run lumi evt seed tc cls df00 df01 df02 df03 df04 df05 df06 df07 df08 df09 df10 df11 df12 df13 df14 df15 df16 df17 df18 df19 df20 df21
1 46 4560 7 631 0 0.585926 1.4525 0.00071013 0.000401389 64.6646 0.0189484 10.5917 3.69265 3.69265 -30 7 14 27.6214 0.523533 1.4955 3 1 0 0 1 5 3
1 46 4560 23 631 1 0.0931011 1.62197 0.00152511 0.00122515 0.923448 0.0579112 7.1979 -0.395859 -0.324356 3.66487 7 14 27.6214 0.523533 1.4955 3 2 0 0 1 6 3
1 46 4560 103 632 1 -0.0966961 0.442474 0.000866454 0.00191574 0.198868 0.103793 2.738 -1.70129 0.510496 3.39315 5 10 20.2501 0.109598 0.468086 2 2 0 0 1 1 2
1 46 4560 23 633 1 0.0931011 1.62197 0.00152511 0.00122515 0.923448 0.0579112 7.1979 -0.324356 -0.324356 3.66487 5 10 20.5946 0.0972974 1.6214 2 2 0 0 1 6 16
1 46 4560 2077 633 1 -0.077816 1.7253 0.00182019 0.00175301 184.988 -0.0803521 15.3911 -1.05705 3.56822 2.74221 5 10 20.5946 0.0972974 1.6214 2 14 0 0 0 1 16
1 46 4560 3 635 1 -0.0954273 0.276918 0.000582667 0.0018503 0.004269 0.106968 1.28228 -2.47347 0.82401 0.871163 5 10 19.2424 0.19133 0.324119 2 1 0 0 1 1 1
1 46 4560 558 643 1 0.0551177 0.145818 0.000334992 0.0013581 0.00031296 -0.0731624 4.73029 -2.80033 2.3288 1.53327 5 10 19.3075 0.263111 0.107853 2 1 0 0 1 3 1
1 46 4560 402 644 1 -0.0724738 1.56111 0.00161869 0.00170213 0.00159143 0.0761411 1.62264 1.74892 2.48351 4.60287 6 12 27.7514 -0.0832909 1.52958 3 4 0 0 1 2 4
1 46 4560 893 651 1 0.0775991 1.98068 0.00188219 0.00132746 0.00191647 0.0576645 9.44056 -1.66626 1.99452 2.94461 5 10 20.5878 0.285369 2.04489 2 3 0 0 1 4 11
1 46 4560 298 658 1 -0.0966628 1.63636 0.00204637 0.00172849 39.7212 0.0837464 10.439 0.589513 0.589513 2.13643 5 10 24.8081 0.0364192 1.69467 3 3 0 0 0 1 3
1 46 4560 114 663 1 -0.0378175 1.55233 0.00186794 0.00168953 45.4156 0.0802179 10.3496 0.446327 0.446327 0.876167 5 10 20.6946 0.357821 1.58988 2 2 0 0 0 1 2
1 46 4560 446 667 1 -0.000633322 0.655076 0.00100587 0.00162309 0.00107822 0.0867807 2.00127 -0.476724 -0.476724 4.54772 6 12 18.9091 0.170831 0.77531 2 1 0 0 1 1 1
