hists                           eff     v15    v510   v1030     d15   d15 cnt     d510 |    nhB    nhT    nhE |    fake     dup |  dupWin   nhWin    nTC status
f_l3_tt15_ta110             0.81285 0.80424 0.72871 0.71895 0.56223   524/932   72/285 |  9.837  9.766  3.449 | 0.04758 0.05654 | 0.09521  5.6571 476465 pass
f_l3_tt175                  0.81285 0.80353 0.72871 0.71895 0.56223   524/932   72/285 |  9.830  9.769  3.447 | 0.04762 0.05651 | 0.09517  5.6566 476427 pass
f_l3bt40_tt15               0.81263 0.80424 0.72871 0.71895 0.56116   523/932   72/285 |  9.853  9.791  3.470 | 0.04757 0.05622 | 0.09454  5.6901 476330 FAIL:EFF,D15
f_l3bt45_tt15               0.81285 0.80424 0.72871 0.71895 0.56223   524/932   72/285 |  9.838  9.771  3.457 | 0.04756 0.05640 | 0.09491  5.6699 476415 pass
f_l40_tt15                  0.81285 0.80212 0.72871 0.71895 0.56116   523/932   72/285 |  9.831  9.770  3.450 | 0.04755 0.05649 | 0.09515  5.6598 476432 FAIL:V15,D15
g_bt425_tt15                0.81276 0.80424 0.72871 0.71895 0.56116   523/932   72/285 |  9.846  9.779  3.464 | 0.04754 0.05633 | 0.09479  5.6802 476376 FAIL:D15
g_bt435_tt15                0.81281 0.80424 0.72871 0.71814 0.56116   523/932   72/285 |  9.843  9.776  3.461 | 0.04754 0.05638 | 0.09489  5.6759 476394 FAIL:D15
g_bt44_tt15                 0.81285 0.80424 0.72871 0.71895 0.56223   524/932   72/285 |  9.841  9.774  3.460 | 0.04755 0.05639 | 0.09490  5.6738 476397 pass
g_bt45_tt15_ta11            0.81268 0.80424 0.72871 0.71895 0.56223   524/932   72/285 |  9.851  9.779  3.462 | 0.04758 0.05634 | 0.09478  5.6776 476418 FAIL:EFF
g_bt45_tt16                 0.81272 0.80424 0.72871 0.71895 0.56223   524/932   72/285 |  9.840  9.776  3.459 | 0.04759 0.05637 | 0.09487  5.6737 476400 pass
g_bt45_tt175                0.81268 0.80353 0.72871 0.71895 0.56223   524/932   72/285 |  9.843  9.782  3.461 | 0.04763 0.05632 | 0.09476  5.6771 476385 FAIL:EFF
g_def                       0.80175 0.78516 0.71293 0.69608 0.54185   505/932   71/285 | 10.044  9.986  3.679 | 0.05363 0.06428 | 0.10935  5.9654 477805 FAIL:EFF,V15,V510,V1030,D15,FAKE
g_flag                      0.81325 0.80424 0.72871 0.71895 0.56330   525/932   71/285 |  9.794  9.698  3.417 | 0.04743 0.05708 | 0.09623  5.6027 476528 pass
