hists                           eff     v15    v510   v1030     d15   d15 cnt     d510 |    nhB    nhT    nhE |    fake     dup |  dupWin   nhWin    nTC status
r_flag2                     0.81325 0.80424 0.72871 0.71895 0.56330   525/932   71/285 |  9.794  9.698  3.417 | 0.04743 0.05708 | 0.09623  5.6027 476528 pass
r_flag                      0.81325 0.80424 0.72871 0.71895 0.56330   525/932   71/285 |  9.794  9.698  3.417 | 0.04743 0.05708 | 0.09623  5.6027 476528 pass
t1c                         0.81303 0.80424 0.72871 0.71895 0.56223   524/932   72/285 |  9.830  9.745  3.448 | 0.04747 0.05662 | 0.09532  5.6508 476448 pass
w1                          0.81285 0.80424 0.72871 0.71814 0.56116   523/932   71/285 |  9.837  9.749  3.453 | 0.04741 0.05657 | 0.09523  5.6596 476371 FAIL:D15
w2                          0.81281 0.80424 0.72871 0.71895 0.56223   524/932   71/285 |  9.839  9.760  3.457 | 0.04748 0.05650 | 0.09508  5.6670 476356 pass
w3                          0.81268 0.80424 0.72871 0.71895 0.56223   524/932   71/285 |  9.844  9.771  3.462 | 0.04751 0.05640 | 0.09489  5.6757 476338 FAIL:EFF
w4                          0.81285 0.80424 0.72871 0.71895 0.56223   524/932   71/285 |  9.835  9.749  3.453 | 0.04744 0.05655 | 0.09520  5.6601 476380 pass
x10                         0.81110 0.79859 0.72713 0.71814 0.56330   525/932   72/285 |  9.864  9.765  3.459 | 0.04800 0.05681 | 0.09586  5.6708 476102 FAIL:EFF,V15
x11                         0.80956 0.79435 0.72397 0.71650 0.56545   527/932   72/285 |  9.879  9.738  3.447 | 0.04871 0.05712 | 0.09646  5.6492 475993 FAIL:EFF,V15,V510,V1030,FAKE
x12                         0.81290 0.80283 0.72871 0.71895 0.56330   525/932   71/285 |  9.821  9.717  3.437 | 0.04746 0.05688 | 0.09583  5.6321 476454 pass
x1                          0.81272 0.80283 0.72871 0.71977 0.56330   525/932   71/285 |  9.833  9.734  3.447 | 0.04745 0.05674 | 0.09559  5.6497 476376 pass
x2                          0.81268 0.80283 0.72871 0.71977 0.56330   525/932   71/285 |  9.836  9.735  3.449 | 0.04747 0.05675 | 0.09563  5.6516 476383 FAIL:EFF
x3                          0.81241 0.80283 0.72871 0.71977 0.56330   525/932   72/285 |  9.842  9.740  3.450 | 0.04752 0.05686 | 0.09583  5.6542 476305 FAIL:EFF
x4                          0.81237 0.80212 0.72713 0.71977 0.56223   524/932   72/285 |  9.842  9.743  3.450 | 0.04756 0.05682 | 0.09576  5.6549 476260 FAIL:EFF,V15
x5                          0.81171 0.79929 0.72713 0.71814 0.56330   525/932   72/285 |  9.853  9.750  3.451 | 0.04782 0.05681 | 0.09581  5.6573 476140 FAIL:EFF,V15
x6                          0.81210 0.80000 0.72871 0.71732 0.56330   525/932   72/285 |  9.829  9.727  3.434 | 0.04771 0.05690 | 0.09599  5.6294 476271 FAIL:EFF,V15
x7                          0.81022 0.79435 0.72397 0.71650 0.56438   526/932   72/285 |  9.855  9.735  3.438 | 0.04843 0.05707 | 0.09632  5.6364 476113 FAIL:EFF,V15,V510,V1030,FAKE
x8                          0.81281 0.80283 0.72871 0.71895 0.56330   525/932   72/285 |  9.815  9.711  3.427 | 0.04749 0.05697 | 0.09605  5.6184 476424 pass
x9                          0.81210 0.80000 0.72713 0.71814 0.56330   525/932   72/285 |  9.851  9.742  3.451 | 0.04770 0.05695 | 0.09597  5.6566 476262 FAIL:EFF,V15
