events = 300

=== UNIVERSE (post-deletion bare seeds), per event ===
group              class                    N  consumed  RPSblock  XCretire   SURVIVE
e00_06                0.0     4.823     0.013     6.870     0.217      0.70     9.673
e00_06                0.5     4.767     0.010     4.930     0.120      0.97     9.553
e00_06                1.0     4.610     0.010     3.523     0.097      1.31     9.240
e00_06                1.5     4.340     0.007     2.620     0.073      1.66     8.693
e00_06                2.0     3.910     0.007     1.887     0.063      2.08     7.833
e00_06                2.5     3.430     0.000     1.337     0.043      2.57     6.860
e00_06                3.0     2.843     0.000     0.820     0.030      3.47     5.687
e00_06                3.5     2.083     0.000     0.407     0.013      5.12     4.167
e00_06                4.0     1.003     0.000     0.097     0.003     10.38     2.007
e00_06                4.5     0.857     0.000     0.060     0.003     14.28     1.713
e00_06                5.0     0.593     0.000     0.040     0.003     14.83     1.187
e00_06                5.5     0.013     0.000     0.000     0.000       inf     0.027
e00_06                6.0     0.010     0.000     0.000     0.000       inf     0.020
e06_11               -2.0     2.823     0.030    14.990     0.600      0.19     5.707
e06_11               -1.5     2.820     0.020    11.073     0.467      0.26     5.680
e06_11               -1.0     2.817     0.017     9.000     0.320      0.31     5.667
e06_11               -0.5     2.810     0.010     6.813     0.247      0.41     5.640
e06_11                0.0     2.797     0.010     4.900     0.167      0.57     5.613
e06_11                0.5     2.713     0.003     3.370     0.097      0.81     5.433
e06_11                1.0     2.607     0.003     2.350     0.067      1.11     5.220
e06_11                1.5     2.430     0.003     1.660     0.050      1.47     4.867
e06_11                2.0     2.173     0.003     1.153     0.030      1.89     4.353
e06_11                2.5     1.850     0.003     0.827     0.027      2.24     3.707
e06_11                3.0     1.513     0.000     0.533     0.027      2.84     3.027
e06_11                3.5     1.053     0.000     0.257     0.020      4.10     2.107
e06_11                4.0     0.387     0.000     0.027     0.003     14.50     0.773
e06_11                4.5     0.307     0.000     0.013     0.003     23.00     0.613
e06_11                5.0     0.203     0.000     0.007     0.000     30.50     0.407
e06_11                5.5     0.043     0.000     0.000     0.000       inf     0.087
e06_11                6.0     0.030     0.000     0.000     0.000       inf     0.060
e06_11                6.5     0.030     0.000     0.000     0.000       inf     0.060
e06_11                7.0     0.030     0.000     0.000     0.000       inf     0.060
e06_11                7.5     0.023     0.000     0.000     0.000       inf     0.047
e06_11                8.0     0.003     0.000     0.000     0.000       inf     0.007
e11_17               -2.0     3.237     0.097    18.970     2.077      0.18     6.667
e11_17               -1.5     3.237     0.077    14.757     1.353      0.22     6.627
e11_17               -1.0     3.230     0.073    12.433     1.103      0.27     6.607
e11_17               -0.5     3.227     0.063    10.110     0.793      0.33     6.580
e11_17                0.0     3.210     0.053     7.757     0.583      0.42     6.527
e11_17                0.5     3.173     0.043     5.580     0.370      0.58     6.433
e11_17                1.0     3.107     0.033     3.750     0.240      0.84     6.280
e11_17                1.5     2.897     0.023     2.397     0.170      1.22     5.840
e11_17                2.0     2.647     0.013     1.600     0.110      1.66     5.320
e11_17                2.5     2.227     0.007     0.983     0.067      2.27     4.467
e11_17                3.0     1.760     0.007     0.550     0.043      3.21     3.533
e11_17                3.5     1.040     0.003     0.297     0.017      3.52     2.087
e11_17                4.0     0.033     0.000     0.033     0.007      1.00     0.067
e11_17                4.5     0.033     0.000     0.020     0.003      1.67     0.067
e11_17                5.0     0.033     0.000     0.013     0.003      2.50     0.067
e11_17                5.5     0.033     0.000     0.013     0.003      2.50     0.067
e11_17                6.0     0.033     0.000     0.013     0.003      2.50     0.067
e11_17                6.5     0.033     0.000     0.003     0.000     10.00     0.067
e11_17                7.0     0.033     0.000     0.003     0.000     10.00     0.067
e11_17                7.5     0.027     0.000     0.003     0.000      8.00     0.053
e11_17                8.0     0.023     0.000     0.003     0.000      7.00     0.047
e11_17                8.5     0.020     0.000     0.000     0.000       inf     0.040
e11_17                9.0     0.017     0.000     0.000     0.000       inf     0.033
e11_17                9.5     0.010     0.000     0.000     0.000       inf     0.020
e17_24               -2.0     4.053     0.530    56.353    11.690      0.08     9.167
e17_24               -1.5     3.997     0.350    35.277     6.433      0.12     8.693
e17_24               -1.0     3.957     0.297    28.963     5.110      0.15     8.507
e17_24               -0.5     3.907     0.227    22.830     3.923      0.18     8.267
e17_24                0.0     3.883     0.163    17.373     2.847      0.23     8.093
e17_24                0.5     3.827     0.130    12.667     1.950      0.31     7.913
e17_24                1.0     3.693     0.080     8.700     1.337      0.43     7.547
e17_24                1.5     3.433     0.067     5.870     0.960      0.60     7.000
e17_24                2.0     2.933     0.027     3.950     0.647      0.75     5.920
e17_24                2.5     2.330     0.013     2.447     0.437      0.96     4.687
e17_24                3.0     1.680     0.007     1.460     0.270      1.16     3.373
e17_24                3.5     0.950     0.003     0.833     0.133      1.14     1.907
e17_24                4.0     0.113     0.000     0.273     0.020      0.41     0.227
e17_24                4.5     0.107     0.000     0.180     0.010      0.59     0.213
e17_24                5.0     0.103     0.000     0.107     0.003      0.97     0.207
e17_24                5.5     0.093     0.000     0.053     0.003      1.75     0.187
e17_24                6.0     0.087     0.000     0.033     0.000      2.60     0.173
e17_24                6.5     0.077     0.000     0.023     0.000      3.29     0.153
e17_24                7.0     0.067     0.000     0.010     0.000      6.67     0.133
e17_24                7.5     0.057     0.000     0.003     0.000     17.00     0.113
e17_24                8.0     0.040     0.000     0.003     0.000     12.00     0.080
e17_24                8.5     0.017     0.000     0.000     0.000       inf     0.033
e17_24                9.0     0.013     0.000     0.000     0.000       inf     0.027
e17_24                9.5     0.007     0.000     0.000     0.000       inf     0.013
e17_24               10.0     0.003     0.000     0.000     0.000       inf     0.007
e24_up               -2.0     0.183     0.007    24.770     1.270      0.01     0.380
e24_up               -1.5     0.170     0.003     9.670     0.410      0.02     0.347
e24_up               -1.0     0.163     0.003     7.370     0.290      0.02     0.333
e24_up               -0.5     0.163     0.003     5.557     0.240      0.03     0.333
e24_up                0.0     0.160     0.003     4.160     0.197      0.04     0.327
e24_up                0.5     0.160     0.000     2.977     0.153      0.05     0.320
e24_up                1.0     0.150     0.000     1.973     0.113      0.08     0.300
