events = 300

=== UNIVERSE (post-deletion bare seeds), per event ===
group              class                    N  consumed  RPSblock  XCretire   SURVIVE
TRANS 1.1-1.7         2.5     2.227     0.007     0.983     0.067      2.27     4.467   -0.00051
TRANS 1.1-1.7         3.0     1.760     0.007     0.550     0.043      3.21     3.533   -0.00028
TRANS 1.1-1.7         3.5     1.040     0.003     0.297     0.017      3.52     2.087   -0.00015
TRANS 1.1-1.7         4.0     0.033     0.000     0.033     0.007      1.00     0.067   -0.00002
TRANS 1.1-1.7         4.5     0.033     0.000     0.020     0.003      1.67     0.067   -0.00001
TRANS 1.1-1.7         5.0     0.033     0.000     0.013     0.003      2.50     0.067   -0.00001
TRANS 1.1-1.7         5.5     0.033     0.000     0.013     0.003      2.50     0.067   -0.00001
TRANS 1.1-1.7         6.0     0.033     0.000     0.013     0.003      2.50     0.067   -0.00001
TRANS 1.1-1.7         6.5     0.033     0.000     0.003     0.000     10.00     0.067   -0.00000
TRANS 1.1-1.7         7.0     0.033     0.000     0.003     0.000     10.00     0.067   -0.00000
TRANS 1.1-1.7         7.5     0.027     0.000     0.003     0.000      8.00     0.053   -0.00000
TRANS 1.1-1.7         8.0     0.023     0.000     0.003     0.000      7.00     0.047   -0.00000
TRANS 1.1-1.7         8.5     0.020     0.000     0.000     0.000       inf     0.040   -0.00000
TRANS 1.1-1.7         9.0     0.017     0.000     0.000     0.000       inf     0.033   -0.00000
TRANS 1.1-1.7         9.5     0.010     0.000     0.000     0.000       inf     0.020   -0.00000
ENDCAP >1.7          -2.0     4.237     0.537    81.123    12.960      0.06     9.547   -0.01836
ENDCAP >1.7          -1.5     4.167     0.353    44.947     6.843      0.10     9.040   -0.01017
ENDCAP >1.7          -1.0     4.120     0.300    36.333     5.400      0.12     8.840   -0.00822
ENDCAP >1.7          -0.5     4.070     0.230    28.387     4.163      0.15     8.600   -0.00642
ENDCAP >1.7           0.0     4.043     0.167    21.533     3.043      0.20     8.420   -0.00487
ENDCAP >1.7           0.5     3.987     0.130    15.643     2.103      0.26     8.233   -0.00354
ENDCAP >1.7           1.0     3.843     0.080    10.673     1.450      0.37     7.847   -0.00242
ENDCAP >1.7           1.5     3.573     0.067     7.203     1.053      0.51     7.280   -0.00163
ENDCAP >1.7           2.0     3.063     0.027     4.843     0.717      0.64     6.180   -0.00110
ENDCAP >1.7           2.5     2.437     0.013     3.023     0.490      0.81     4.900   -0.00068
ENDCAP >1.7           3.0     1.763     0.007     1.837     0.310      0.96     3.540   -0.00042
ENDCAP >1.7           3.5     0.993     0.003     1.037     0.157      0.96     1.993   -0.00023
ENDCAP >1.7           4.0     0.113     0.000     0.333     0.023      0.34     0.227   -0.00008
ENDCAP >1.7           4.5     0.107     0.000     0.207     0.013      0.52     0.213   -0.00005
ENDCAP >1.7           5.0     0.103     0.000     0.130     0.007      0.79     0.207   -0.00003
ENDCAP >1.7           5.5     0.093     0.000     0.067     0.003      1.40     0.187   -0.00002
ENDCAP >1.7           6.0     0.087     0.000     0.047     0.000      1.86     0.173   -0.00001
ENDCAP >1.7           6.5     0.077     0.000     0.027     0.000      2.88     0.153   -0.00001
ENDCAP >1.7           7.0     0.067     0.000     0.013     0.000      5.00     0.133   -0.00000
ENDCAP >1.7           7.5     0.057     0.000     0.003     0.000     17.00     0.113   -0.00000
ENDCAP >1.7           8.0     0.040     0.000     0.003     0.000     12.00     0.080   -0.00000
ENDCAP >1.7           8.5     0.017     0.000     0.000     0.000       inf     0.033   -0.00000
ENDCAP >1.7           9.0     0.013     0.000     0.000     0.000       inf     0.027   -0.00000
ENDCAP >1.7           9.5     0.007     0.000     0.000     0.000       inf     0.013   -0.00000
ENDCAP >1.7          10.0     0.003     0.000     0.000     0.000       inf     0.007   -0.00000
  (dupTCgain = 2 x A retired: the seed row AND its partner both stop being duplicates; upper bound, exact when the sim has exactly 2 TCs)

=== FRONTIER  var=bidMarginInWin  (fate=SURVIVE only), per event ===
group                 thr   A_seedl   A_other   B_noCov   C_noTru       A/B dupTCgain  d_eff_est
BARREL |eta|<1.1     -2.0     6.653     0.037    19.210     0.627      0.35    13.380   -0.00903
BARREL |eta|<1.1     -1.5     5.833     0.007     6.817     0.203      0.86    11.680   -0.00321
BARREL |eta|<1.1     -1.0     5.720     0.007     5.897     0.180      0.97    11.453   -0.00277
BARREL |eta|<1.1     -0.5     5.533     0.007     5.053     0.147      1.10    11.080   -0.00238
BARREL |eta|<1.1      0.0     5.103     0.003     3.957     0.103      1.29    10.213   -0.00186
BARREL |eta|<1.1      0.5     4.743     0.003     3.260     0.090      1.46     9.493   -0.00153
BARREL |eta|<1.1      1.0     4.387     0.000     2.640     0.080      1.66     8.773   -0.00124
BARREL |eta|<1.1      1.5     4.023     0.000     2.173     0.073      1.85     8.047   -0.00102
BARREL |eta|<1.1      2.0     3.557     0.000     1.727     0.063      2.06     7.113   -0.00081
BARREL |eta|<1.1      2.5     3.087     0.000     1.360     0.050      2.27     6.173   -0.00064
BARREL |eta|<1.1      3.0     2.607     0.000     1.063     0.040      2.45     5.213   -0.00050
BARREL |eta|<1.1      3.5     2.170     0.000     0.830     0.030      2.61     4.340   -0.00039
BARREL |eta|<1.1      4.0     1.693     0.000     0.607     0.023      2.79     3.387   -0.00029
BARREL |eta|<1.1      4.5     1.283     0.000     0.433     0.013      2.96     2.567   -0.00020
BARREL |eta|<1.1      5.0     0.913     0.000     0.313     0.010      2.91     1.827   -0.00015
BARREL |eta|<1.1      5.5     0.697     0.000     0.257     0.003      2.71     1.393   -0.00012
BARREL |eta|<1.1      6.0     0.583     0.000     0.217     0.003      2.69     1.167   -0.00010
BARREL |eta|<1.1      6.5     0.470     0.000     0.190     0.003      2.47     0.940   -0.00009
BARREL |eta|<1.1      7.0     0.403     0.000     0.183     0.003      2.20     0.807   -0.00009
BARREL |eta|<1.1      7.5     0.380     0.000     0.177     0.003      2.15     0.760   -0.00008
BARREL |eta|<1.1      8.0     0.357     0.000     0.177     0.003      2.02     0.713   -0.00008
BARREL |eta|<1.1      8.5     0.343     0.000     0.170     0.003      2.02     0.687   -0.00008
BARREL |eta|<1.1      9.0     0.343     0.000     0.170     0.003      2.02     0.687   -0.00008
TRANS 1.1-1.7        -2.0     3.200     0.047    10.290     1.020      0.32     6.493   -0.00532
TRANS 1.1-1.7        -1.5     3.010     0.010     3.527     0.210      0.86     6.040   -0.00182
TRANS 1.1-1.7        -1.0     2.933     0.007     3.010     0.170      0.98     5.880   -0.00156
TRANS 1.1-1.7        -0.5     2.767     0.003     2.520     0.137      1.10     5.540   -0.00130
TRANS 1.1-1.7         0.0     2.253     0.003     1.670     0.090      1.35     4.513   -0.00086
TRANS 1.1-1.7         0.5     1.900     0.000     1.083     0.073      1.75     3.800   -0.00056
TRANS 1.1-1.7         1.0     1.763     0.000     0.900     0.060      1.96     3.527   -0.00047
TRANS 1.1-1.7         1.5     1.663     0.000     0.770     0.043      2.16     3.327   -0.00040
TRANS 1.1-1.7         2.0     1.503     0.000     0.623     0.030      2.41     3.007   -0.00032
TRANS 1.1-1.7         2.5     1.327     0.000     0.497     0.023      2.67     2.653   -0.00026
TRANS 1.1-1.7         3.0     1.087     0.000     0.400     0.017      2.72     2.173   -0.00021
TRANS 1.1-1.7         3.5     0.913     0.000     0.283     0.017      3.22     1.827   -0.00015
TRANS 1.1-1.7         4.0     0.743     0.000     0.227     0.013      3.28     1.487   -0.00012
TRANS 1.1-1.7         4.5     0.590     0.000     0.190     0.013      3.11     1.180   -0.00010
TRANS 1.1-1.7         5.0     0.460     0.000     0.153     0.010      3.00     0.920   -0.00008
TRANS 1.1-1.7         5.5     0.377     0.000     0.137     0.010      2.76     0.753   -0.00007
TRANS 1.1-1.7         6.0     0.303     0.000     0.133     0.010      2.27     0.607   -0.00007
TRANS 1.1-1.7         6.5     0.277     0.000     0.133     0.010      2.08     0.553   -0.00007
TRANS 1.1-1.7         7.0     0.253     0.000     0.133     0.010      1.90     0.507   -0.00007
TRANS 1.1-1.7         7.5     0.237     0.000     0.133     0.010      1.77     0.473   -0.00007
TRANS 1.1-1.7         8.0     0.227     0.000     0.133     0.007      1.70     0.453   -0.00007
TRANS 1.1-1.7         8.5     0.223     0.000     0.133     0.007      1.68     0.447   -0.00007
TRANS 1.1-1.7         9.0     0.220     0.000     0.133     0.007      1.65     0.440   -0.00007
ENDCAP >1.7          -2.0     3.923     0.200    30.903     5.553      0.13     8.247   -0.00699
ENDCAP >1.7          -1.5     3.157     0.033     8.027     1.113      0.40     6.380   -0.00182
ENDCAP >1.7          -1.0     2.853     0.027     6.533     0.837      0.44     5.760   -0.00148
