tag                eff     v15    v510   v1030     d15    d510 |    nhB    nhT    nhE |   fake    dup   dupB   dupE |  dupWin   otWin   chTC    ms   ext%
ex_s1_w25r20    0.8130  0.8035  0.7287  0.7190  0.5633  71/285|  9.881  9.852  3.448 | 0.0476 0.0571 0.0139 0.0902 |  0.0962   5.667 303191   264   6.1% pass
ex_s1_w25r30    0.8129  0.8028  0.7271  0.7181  0.5622  71/285|  9.902  9.888  3.452 | 0.0477 0.0570 0.0139 0.0902 |  0.0962   5.679 303191   264   7.4% pass
ex_s1_w25r50    0.8129  0.8028  0.7271  0.7181  0.5622  71/285|  9.906  9.906  3.455 | 0.0477 0.0570 0.0139 0.0902 |  0.0962   5.687 303191   264   7.9% pass
ex_s1_w20r30    0.8129  0.8028  0.7287  0.7181  0.5622  71/285|  9.896  9.854  3.447 | 0.0476 0.0570 0.0139 0.0902 |  0.0962   5.667 303191   263   6.4% pass
ex_s1_w30r15    0.8130  0.8028  0.7287  0.7198  0.5633  71/285|  9.871  9.853  3.450 | 0.0476 0.0571 0.0139 0.0902 |  0.0962   5.669 303191   263   6.0% pass
ex_s1_w30r20    0.8129  0.8021  0.7287  0.7190  0.5633  71/285|  9.885  9.882  3.453 | 0.0476 0.0571 0.0139 0.0902 |  0.0962   5.678 303191   264   6.9% FAIL:V15
ex_s1_w35r15    0.8129  0.8021  0.7287  0.7198  0.5633  71/285|  9.873  9.872  3.452 | 0.0476 0.0571 0.0139 0.0902 |  0.0962   5.674 303191   263   6.5% FAIL:V15
ex_s1_w40r20    0.8128  0.8007  0.7287  0.7181  0.5633  71/285|  9.892  9.934  3.461 | 0.0477 0.0571 0.0139 0.0902 |  0.0962   5.696 303191   264   8.3% FAIL:V15
ex_s1_w05r30    0.8124  0.7986  0.7287  0.7173  0.5622  71/285|  9.926 10.045  3.476 | 0.0479 0.0570 0.0139 0.0902 |  0.0962   5.736 303191   265  11.6% FAIL:EFF,V15
ex_s1_w10r50    0.8116  0.7986  0.7271  0.7141  0.5590  71/285| 10.022 10.413  3.552 | 0.0489 0.0569 0.0138 0.0900 |  0.0959   5.896 303191   264  23.4% FAIL:EFF,V15,V1030,D15,FAKE
ex_s1_c05       0.8129  0.8021  0.7271  0.7190  0.5633  71/285|  9.871  9.876  3.456 | 0.0476 0.0571 0.0139 0.0902 |  0.0962   5.679 303191   264  11.6% FAIL:V15
ex_s1_c20       0.8125  0.7993  0.7271  0.7173  0.5622  71/285|  9.925 10.001  3.467 | 0.0478 0.0570 0.0139 0.0902 |  0.0962   5.713 303191   264  11.4% FAIL:EFF,V15
ex_s3_w25r10    0.8125  0.8028  0.7287  0.7165  0.5504  67/285|  9.952  9.825  3.447 | 0.0480 0.0570 0.0136 0.0902 |  0.0962   5.661 303191   266   7.6% FAIL:EFF,V1030,D15,D510
ex_s1_lbt       0.8128  0.8035  0.7287  0.7198  0.5622  72/285|  9.875  9.836  3.470 | 0.0476 0.0566 0.0138 0.0896 |  0.0953   5.693 303017   264   3.7% pass
ex_st_w25r20    0.8128  0.8035  0.7287  0.7190  0.5622  72/285|  9.904  9.895  3.476 | 0.0476 0.0566 0.0138 0.0896 |  0.0953   5.710 303017   264   5.6% pass
ex_st_w25r30    0.8126  0.8028  0.7271  0.7181  0.5612  72/285|  9.923  9.930  3.479 | 0.0477 0.0566 0.0138 0.0896 |  0.0953   5.722 303017   264   6.8% FAIL:EFF,D15
ex_st_w20r30    0.8127  0.8028  0.7287  0.7181  0.5612  72/285|  9.918  9.897  3.475 | 0.0476 0.0566 0.0138 0.0896 |  0.0953   5.711 303017   264   5.9% FAIL:D15
---------------------------------------------------------------------------------------------------------------------------------------------------------
LST TARGET      0.8136       -       -       -       -   -/-  | 10.151 10.010  3.559 |      - 0.0513
