# events parsed=1000  completed=992  CRASHED=8 (0.8%)
# crashed event indices: 5 85 217 306 496 515 646 972

## per-stage ms/evt over the 992 completed events
stage         mean    median       p90       p99       max
Hits          1.18      1.17      1.45      1.65      1.85
MD            1.01      0.98      1.38      1.74      2.31
LS            3.20      2.94      5.07      7.70     10.81
T3           54.23     37.78    117.24    282.39    381.38
Graph      2934.40   1156.23   7277.52  25960.12  33382.59
pLS           0.40      0.33      0.77      1.40      2.59
Chain        19.30     10.24     43.44    135.53    313.69
TC            0.37      0.37      0.65      0.97      1.39
Reset        26.99     10.48     68.84    233.52    337.73
Total      3014.10   1213.42   7400.93  26459.61  33908.11

## graph size distribution (all events with a [CHAIN] line, crashers included)
nHits    mean         7818  median       7685  p90      11254  p99      13978  max      15721
nMDalloc mean         2565  median       2506  p90       3743  p99       4687  max       5519
mdUsed   mean          977  median        940  p90       1458  p99       1840  max       2210
nT3      mean        81663  median      58755  p90     175836  p99     397944  max     601655
E1       mean     18410974  median    6728747  p90   43482099  p99  175608057  max  382407452
E2       mean      1047708  median     536928  p90    2438586  p99    8134950  max   16522641
E        mean     19458682  median    7302680  p90   45606130  p99  184335732  max  398930093

## the 4 GiB ChainEdges wall (E > 204522252 rows)
#   events over the wall: 8 / 1000 (0.80%)
#   evt 972  nT3=601655   E1=382407452   E2=16522641  E=398930093   needs   8377.5 MB  OVER WALL / crash
#   evt 85   nT3=457806   E1=305912527   E2=9182795   E=315095322   needs   6617.0 MB  OVER WALL / crash
#   evt 646  nT3=475090   E1=293917028   E2=11581431  E=305498459   needs   6415.5 MB  OVER WALL / crash
#   evt 496  nT3=471250   E1=291824409   E2=12380364  E=304204773   needs   6388.3 MB  OVER WALL / crash
#   evt 217  nT3=440654   E1=236144098   E2=10147299  E=246291397   needs   5172.1 MB  OVER WALL / crash
#   evt 5    nT3=377082   E1=214163878   E2=7164830   E=221328708   needs   4647.9 MB  OVER WALL / crash
#   evt 306  nT3=476399   E1=210467457   E2=8967486   E=219434943   needs   4608.1 MB  OVER WALL / crash
#   evt 515  nT3=424028   E1=207137730   E2=9274888   E=216412618   needs   4544.7 MB  OVER WALL / crash
#   evt 776  nT3=451147   E1=183892458   E2=8465076   E=192357534   needs   4039.5 MB  
#   evt 42   nT3=373575   E1=181359773   E2=7177710   E=188537483   needs   3959.3 MB  
#   evt 744  nT3=453511   E1=175549959   E2=8743331   E=184293290   needs   3870.2 MB  
#   evt 725  nT3=392711   E1=174529531   E2=6121681   E=180651212   needs   3793.7 MB  

## E1 scaling law
#   mean-field prediction E1 ~ nT3^2 / nMDkeysUsed:
#     E1 / (nT3^2/K):  median 1.845  p10 1.237  p90 2.760   (1.0 = uniform degrees)
#   E1 = 4.822e-02 * nT3^1.709    (log-log R^2 = 0.965)
#   E1 = 4.657e+02 * nHits^1.063    (log-log R^2 = 0.052)
#   E1 = 3.131e+01 * nMDalloc^1.563    (log-log R^2 = 0.118)
#   E1 = 3.754 * (nT3^2/K)^0.952    (log-log R^2 = 0.964)

## Graph ms vs E (the chain block is edge-count bound)
#   Graph_ms = 0.1741 us/edge * E + -90.64 ms   (corr 0.9998)

## peak RSS
#   median 494 MB  p90 1226 MB  max 4293 MB

csv,evt,crash,nHits,nMDalloc,mdUsed,nT3,E1,E2,E,edgeMB,memMB,rssMB,T3ms,Graphms,Chainms,Totalms
csv,56,0,6401,2171,921,96862,14717377,1105104,15822481,332.3,372.5,679.3,64.67,2607.71,13.89,2691.72
csv,57,0,6862,2482,1239,16305,471833,70868,542701,11.4,22.8,353.8,14.42,88.74,5.51,114.55
csv,58,0,6257,2103,817,125820,29983264,2194023,32177287,675.7,712.2,1009.7,57.33,5408.02,22.57,5492.97
csv,59,0,9213,3233,1179,138147,33536345,1823213,35359558,742.6,793.8,1080.5,88.24,5978.85,31.75,6106.96
csv,60,0,7762,2331,475,25707,2098470,225792,2324262,48.8,59.3,390.4,11.33,368.54,4.14,388.20
csv,61,0,9471,2880,601,36449,3966514,373225,4339739,91.1,104.7,433.0,16.67,662.62,3.93,688.52
csv,62,0,5571,1942,806,104589,28407829,1534171,29942000,628.8,664.7,960.2,56.33,4952.15,16.71,5030.15
csv,63,0,5244,1835,894,34577,2682995,281818,2964813,62.3,77.3,405.8,21.65,490.78,6.86,524.52
csv,64,0,5398,1966,978,329804,173763713,6676452,180440165,3789.2,3893.1,4023.8,185.36,31329.46,110.62,31634.56
csv,65,0,5354,1720,540,12376,877161,109081,986242,20.7,27.2,358.7,5.92,149.96,1.96,161.33
csv,66,0,4596,1392,495,24800,2449589,212471,2662060,55.9,66.1,393.3,12.14,417.14,1.27,434.32
csv,67,0,5532,1874,834,42004,4753186,426107,5179293,108.8,125.7,450.3,22.64,823.42,5.35,855.83
csv,68,0,8479,2559,742,21123,1341901,151980,1493881,31.4,41.2,373.4,10.97,235.15,3.43,254.19
csv,69,0,2689,735,411,14231,633804,83107,716911,15.1,23.8,354.3,10.26,114.75,2.18,130.31
csv,70,0,2987,878,420,16240,701510,89670,791180,16.6,26.5,356.8,12.07,124.13,1.61,141.32
csv,71,0,6445,2128,937,375439,136618019,7320203,143938222,3022.7,3148.5,3303.0,264.35,25462.54,60.46,25794.16
csv,72,0,9025,3023,1317,77297,8798072,653017,9451089,198.5,241.3,549.5,74.73,1575.82,20.51,1678.72
csv,73,0,10589,3277,1126,109048,20823119,1089514,21912633,460.2,503.1,804.5,76.51,3902.13,20.81,4006.94
csv,74,0,7195,2415,1058,239837,76410095,4295687,80705782,1694.8,1764.8,2005.8,131.07,13947.46,59.96,14145.41
csv,75,0,13370,4281,1742,137428,28304627,1684120,29988747,629.8,688.5,973.9,98.74,5330.81,26.64,5466.02
csv,76,0,5119,1806,960,96890,12958983,848115,13807098,289.9,342.9,637.4,113.26,2222.53,25.35,2367.98
csv,77,0,7610,1875,647,19480,1069433,146724,1216157,25.5,34.8,367.8,9.98,190.81,3.25,208.16
csv,78,0,9227,2730,1362,47677,4462616,406005,4868621,102.2,122.3,451.7,27.19,770.54,10.74,815.24
csv,79,0,6213,1680,736,34586,2922655,289215,3211870,67.4,83.4,408.8,20.64,486.13,6.99,518.55
csv,80,0,3251,984,452,3906,101319,19408,120727,2.5,6.4,338.5,2.33,20.09,1.17,26.45
csv,81,0,6632,2478,974,290141,113700071,5941673,119641744,2512.5,2593.5,2797.4,144.89,21309.80,118.24,21579.78
csv,82,0,6654,2011,708,44589,4769214,467870,5237084,110.0,126.3,452.3,22.42,828.73,2.76,858.15
csv,83,0,10494,3401,1405,117821,26688970,1635600,28324570,594.8,637.1,932.5,67.01,4716.84,29.76,4821.53
